Country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
																																														
Argentina	0.7	-5.744	-3.149	3.733	2	-6.951	7.146	2.529	-1.957	-7.007	-1.338	10.498	10.299	6.251	5.83	-2.845	5.527	8.111	3.85	-3.385	-0.789	-4.409	-10.894	8.955	8.911	8.852	8.047	9.008	4.057	-5.919	10.125	6.004	-1.026	2.405	-2.513	2.731	-2.08	2.819	-2.565	-2.088	-11.784	4.889	2.526	2.283	2.118	1.703
																																														
Brazil	9.19	-4.4	0.596	-3.4	5.307	7.901	7.544	3.601	0.264	3.2	-4.168	1.031	-0.467	4.665	5.334	4.417	2.209	3.395	0.338	0.468	4.388	1.39	3.053	1.141	5.76	3.202	3.962	6.07	5.094	-0.126	7.528	3.974	1.921	3.005	0.504	-3.546	-3.276	1.323	1.317	1.137	-5.801	2.828	2.272	2.236	2.206	2.218
																																														
India	5.281	6.006	3.476	7.289	3.821	5.254	4.777	3.965	9.628	5.947	5.534	1.057	5.482	4.75	6.659	7.575	7.55	4.05	6.184	8.463	3.975	4.944	3.907	7.944	7.849	9.285	9.264	9.801	3.891	8.48	10.26	6.638	5.456	6.386	7.41	7.996	8.256	7.044	6.12	4.181	-10.289	8.804	7.986	7.632	7.411	7.182
																																														
Indonesia	9.88	7.604	2.246	4.193	7.574	3.906	7.189	6.572	6.979	9.085	9.002	8.928	6.523	7.956	7.54	8.22	7.818	4.7	-13.127	0.791	4.979	3.643	4.499	4.78	5.031	5.693	5.501	6.345	7.442	4.702	6.378	6.17	6.03	5.557	5.007	4.876	5.033	5.07	5.17	5.025	-1.498	6.111	5.294	5.205	5.066	5.073
																																														
Malaysia	7.444	6.942	5.941	6.25	7.762	-0.876	1.153	5.389	9.938	9.06	9.007	9.547	8.886	9.896	9.211	9.83	10.002	7.327	-7.359	6.131	8.671	0.518	5.391	5.789	6.783	4.976	5.584	6.299	4.832	-1.514	7.528	5.293	5.474	4.694	6.007	5.007	4.45	5.813	4.77	4.303	-6	7.8	6	5.7	5.3	5
																																														
Mexico	9.482	8.526	-0.521	-3.486	3.411	2.188	-3.079	1.722	1.283	4.106	5.176	4.215	3.541	2.738	4.941	-6.291	6.773	6.847	5.164	2.754	4.942	-0.404	-0.04	1.446	3.921	2.308	4.495	2.291	1.144	-5.286	5.118	3.663	3.642	1.354	2.85	3.293	2.631	2.113	2.202	-0.304	-8.954	3.53	2.258	2.152	2.1	2.115
																																														
Pakistan	6.912	6.208	7.562	6.788	3.973	8.708	6.363	5.811	6.436	4.808	4.589	5.127	7.569	2.097	4.369	5.062	6.599	1.703	3.494	4.182	3.908	1.967	3.112	4.726	7.483	8.958	5.818	5.537	4.988	0.361	2.581	3.624	3.837	3.683	4.053	4.058	4.563	5.219	5.534	1.911	-0.385	1.021	4.046	4.524	4.995	5.024
																																														
South Africa	6.621	5.361	-0.383	-1.847	5.099	-1.211	0.018	2.101	4.2	2.395	-0.318	-1.018	-2.137	1.234	3.234	3.116	4.307	2.647	0.517	2.358	4.155	2.735	3.668	2.949	4.555	5.277	5.604	5.36	3.191	-1.538	3.04	3.284	2.213	2.485	1.847	1.194	0.399	1.415	0.787	0.153	-8	3	1.54	1.516	2.139	2.34
																																														
